banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
67.13067.130,4.014,69.13769.137,"40,60 40,60 ","12,39 12,39 ",49.219 49.219 ,668 668 ,882 882 ,23.706,13.03,4.026,12.562,60.77160.771,68.0,0.0,0.0,00,0.0,69.09969.099
63.51663.516,66.0,63.54963.549,"22,79 22,79 ","5,99 5,99 ",52.957 52.957 ,9.184 9.184 ,31 31 ,2.624,130.0,42.0,30.896,41.71741.717,10.362,2.344,0.0,00,0.0,63.53963.539
585.231585.231,400.0,585.431585.431,"54,23 54,23 ","16,56 16,56 ",340.212 340.212 ,240.334 240.334 ,444 444 ,8.128,754.0,1320.0,197.984,435.692435.692,57.984,37.776,168.0,664664,0.0,583.972583.972
136.618136.618,230.0,136.733136.733,"34,98 34,98 ","10,43 10,43 ",108.907 108.907 ,22.440 22.440 ,48 48 ,10.406,270.0,3.418,59.42,91.45091.450,25.138,2.62,0.0,4848,0.0,136.796136.796
25.87325.873,128.0,25.93725.937,"17,77 17,77 ","4,51 4,51 ",21.021 21.021 ,4.836 4.836 ,0 0 ,0.0,160.0,4.002,16.646,14.20214.202,2.648,170.0,0.0,00,0.0,25.93525.935
33.73933.739,4.0,33.74133.741,"18,37 18,37 ","4,68 4,68 ",30.128 30.128 ,3.541 3.541 ,22 22 ,74.0,26.0,254.0,21.958,20.21620.216,4.61,164.0,0.0,00,0.0,33.70933.709
61.86161.861,1128.0,62.42562.425,"55,78 55,78 ","18,34 18,34 ",16.051 16.051 ,33.940 33.940 ,538 538 ,22.438,1354.0,12.916,13.29,41.00941.009,48.0,10.0,8.0,1010,0.0,54.15554.155
15.89315.893,46.0,15.91615.916,"16,51 16,51 ","4,38 4,38 ",15.864 15.864 ,0 0 ,14 14 ,2.0,74.0,20.0,9.57,9.7209.720,2.674,122.0,0.0,00,0.0,15.91315.913
166.184166.184,3.48,167.924167.924,"32,31 32,31 ","8,99 8,99 ",150.120 150.120 ,13.030 13.030 ,2.512 2.512 ,80.0,4.444,70.0,0.0,167.763167.763,62.0,24.0,26.0,11,0.0,167.855167.855
75.32775.327,0.0,75.32775.327,"23,57 23,57 ","6,40 6,40 ",56.933 56.933 ,18.373 18.373 ,4 4 ,6.0,28.0,1280.0,27.274,53.51053.510,11.856,3.212,0.0,11,0.0,75.32275.322
