año,trimestre,provincia,banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
2014,2,Santa Fe,511.753,605.0,512.358,"48,39 ","15,22 ",324.101 ,178.495 ,3.085 ,6.041,636.0,8.515,115.197,353.559,23.939,10.058,34.0,792,0.0,512.094
2014,2,Santa Fe,511.753,605.0,512.358,"48,39 ","15,22 ",324.101 ,178.495 ,3.085 ,6.041,636.0,8.515,115.197,353.559,23.939,10.058,34.0,792,0.0,512.094
2014,2,Santiago Del Estero,38.002,9.0,38.011,"16,70 ","4,14 ",32.820 ,4.231 ,19 ,907.0,34.0,1.231,9.914,23.842,2.867,142.0,0.0,0,0.0,37.996
2014,2,Santiago Del Estero,38.002,9.0,38.011,"16,70 ","4,14 ",32.820 ,4.231 ,19 ,907.0,34.0,1.231,9.914,23.842,2.867,142.0,0.0,0,0.0,37.996
2014,2,Tierra Del Fuego,27.443,766.0,28.209,"64,36 ","19,09 ",21.618 ,3.008 ,648 ,1.0,2.934,12.0,334.0,31.198,2.0,0.0,0.0,0,0.0,31.546
2014,2,Tierra Del Fuego,27.443,766.0,28.209,"64,36 ","19,09 ",21.618 ,3.008 ,648 ,1.0,2.934,12.0,334.0,31.198,2.0,0.0,0.0,0,0.0,31.546
2014,2,Tucumán,131.981,88.0,132.069,"33,94 ","8,41 ",131.740 ,97 ,121 ,13.0,98.0,6.0,32.714,84.675,14.101,559.0,4.0,0,0.0,132.059
2014,2,Tucumán,131.981,88.0,132.069,"33,94 ","8,41 ",131.740 ,97 ,121 ,13.0,98.0,6.0,32.714,84.675,14.101,559.0,4.0,0,0.0,132.059
2014,3,Buenos Aires,2.835.537,14.028,2.849.565,"56,75 ","17,26 ",1.562.533 ,1.110.628 ,124.474 ,20.049,31.881,7.355,128.187,2.281.524,156.693,68.947,243.0,4.232,0.0,2.647.181
2014,3,Buenos Aires,2.835.537,14.028,2.849.565,"56,75 ","17,26 ",1.562.533 ,1.110.628 ,124.474 ,20.049,31.881,7.355,128.187,2.281.524,156.693,68.947,243.0,4.232,0.0,2.647.181
2014,3,Capital Federal,1.307.195,10.63,1.317.825,"113,80 ","43,21 ",450.155 ,833.402 ,17.886 ,1.995,14.387,840.0,78.016,1.060.145,102.17,70.907,95.0,6.626,0.0,1.318.799
2014,3,Capital Federal,1.307.195,10.63,1.317.825,"113,80 ","43,21 ",450.155 ,833.402 ,17.886 ,1.995,14.387,840.0,78.016,1.060.145,102.17,70.907,95.0,6.626,0.0,1.318.799
2014,3,Catamarca,24.665,21.0,24.686,"24,71 ","6,27 ",24.380 ,244 ,15 ,0.0,47.0,19.0,8.845,13.790,1.915,111.0,0.0,0,0.0,24.680
2014,3,Catamarca,24.665,21.0,24.686,"24,71 ","6,27 ",24.380 ,244 ,15 ,0.0,47.0,19.0,8.845,13.790,1.915,111.0,0.0,0,0.0,24.680
2014,3,Chaco,63.710,36.0,63.746,"21,11 ","5,63 ",53.321 ,10.336 ,29 ,1.0,59.0,398.0,14.731,41.934,5.428,1.274,5.0,0,0.0,63.770
2014,3,Chaco,63.710,36.0,63.746,"21,11 ","5,63 ",53.321 ,10.336 ,29 ,1.0,59.0,398.0,14.731,41.934,5.428,1.274,5.0,0,0.0,63.770
2014,3,Chubut,67.130,2.007,69.137,"40,60 ","12,39 ",49.219 ,668 ,882 ,11.853,6.515,2.013,6.281,60.771,34.0,0.0,0.0,0,0.0,69.099
2014,3,Chubut,67.130,2.007,69.137,"40,60 ","12,39 ",49.219 ,668 ,882 ,11.853,6.515,2.013,6.281,60.771,34.0,0.0,0.0,0,0.0,69.099
2014,3,Corrientes,63.516,33.0,63.549,"22,79 ","5,99 ",52.957 ,9.184 ,31 ,1.312,65.0,21.0,15.448,41.717,5.181,1.172,0.0,0,0.0,63.539
2014,3,Corrientes,63.516,33.0,63.549,"22,79 ","5,99 ",52.957 ,9.184 ,31 ,1.312,65.0,21.0,15.448,41.717,5.181,1.172,0.0,0,0.0,63.539
2014,3,Córdoba,585.231,200.0,585.431,"54,23 ","16,56 ",340.212 ,240.334 ,444 ,4.064,377.0,660.0,98.992,435.692,28.992,18.888,84.0,664,0.0,583.972
2014,3,Córdoba,585.231,200.0,585.431,"54,23 ","16,56 ",340.212 ,240.334 ,444 ,4.064,377.0,660.0,98.992,435.692,28.992,18.888,84.0,664,0.0,583.972
2014,3,Entre Ríos,136.618,115.0,136.733,"34,98 ","10,43 ",108.907 ,22.440 ,48 ,5.203,135.0,1.709,29.71,91.450,12.569,1.31,0.0,48,0.0,136.796
2014,3,Entre Ríos,136.618,115.0,136.733,"34,98 ","10,43 ",108.907 ,22.440 ,48 ,5.203,135.0,1.709,29.71,91.450,12.569,1.31,0.0,48,0.0,136.796
2014,3,Formosa,25.873,64.0,25.937,"17,77 ","4,51 ",21.021 ,4.836 ,0 ,0.0,80.0,2.001,8.323,14.202,1.324,85.0,0.0,0,0.0,25.935
2014,3,Formosa,25.873,64.0,25.937,"17,77 ","4,51 ",21.021 ,4.836 ,0 ,0.0,80.0,2.001,8.323,14.202,1.324,85.0,0.0,0,0.0,25.935
2014,3,Jujuy,33.739,2.0,33.741,"18,37 ","4,68 ",30.128 ,3.541 ,22 ,37.0,13.0,127.0,10.979,20.216,2.305,82.0,0.0,0,0.0,33.709
2014,3,Jujuy,33.739,2.0,33.741,"18,37 ","4,68 ",30.128 ,3.541 ,22 ,37.0,13.0,127.0,10.979,20.216,2.305,82.0,0.0,0,0.0,33.709
2014,3,La Pampa,61.861,564.0,62.425,"55,78 ","18,34 ",16.051 ,33.940 ,538 ,11.219,677.0,6.458,6.645,41.009,24.0,5.0,4.0,10,0.0,54.155
2014,3,La Pampa,61.861,564.0,62.425,"55,78 ","18,34 ",16.051 ,33.940 ,538 ,11.219,677.0,6.458,6.645,41.009,24.0,5.0,4.0,10,0.0,54.155
2014,3,La Rioja,15.893,23.0,15.916,"16,51 ","4,38 ",15.864 ,0 ,14 ,1.0,37.0,10.0,4.785,9.720,1.337,61.0,0.0,0,0.0,15.913
2014,3,La Rioja,15.893,23.0,15.916,"16,51 ","4,38 ",15.864 ,0 ,14 ,1.0,37.0,10.0,4.785,9.720,1.337,61.0,0.0,0,0.0,15.913
2014,3,Mendoza,166.184,1.74,167.924,"32,31 ","8,99 ",150.120 ,13.030 ,2.512 ,40.0,2.222,35.0,0.0,167.763,31.0,12.0,13.0,1,0.0,167.855
2014,3,Mendoza,166.184,1.74,167.924,"32,31 ","8,99 ",150.120 ,13.030 ,2.512 ,40.0,2.222,35.0,0.0,167.763,31.0,12.0,13.0,1,0.0,167.855
2014,3,Misiones,75.327,0.0,75.327,"23,57 ","6,40 ",56.933 ,18.373 ,4 ,3.0,14.0,640.0,13.637,53.510,5.928,1.606,0.0,1,0.0,75.322
2014,3,Misiones,75.327,0.0,75.327,"23,57 ","6,40 ",56.933 ,18.373 ,4 ,3.0,14.0,640.0,13.637,53.510,5.928,1.606,0.0,1,0.0,75.322
2014,3,Neuquén,100.099,2.268,102.367,"56,40 ","16,73 ",54.458 ,30.964 ,1.000 ,12.858,3.087,1.522,3.099,80.090,107.0,2.865,10.0,27,0.0,87.720
2014,3,Neuquén,100.099,2.268,102.367,"56,40 ","16,73 ",54.458 ,30.964 ,1.000 ,12.858,3.087,1.522,3.099,80.090,107.0,2.865,10.0,27,0.0,87.720
2014,3,Río Negro,96.629,1.151,97.780,"46,20 ","14,16 ",65.264 ,26.590 ,888 ,3.533,1.505,3.64,5.189,86.868,87.0,1.944,8.0,9,0.0,97.745
2014,3,Río Negro,96.629,1.151,97.780,"46,20 ","14,16 ",65.264 ,26.590 ,888 ,3.533,1.505,3.64,5.189,86.868,87.0,1.944,8.0,9,0.0,97.745
2014,3,Salta,92.929,25.0,92.954,"29,22 ","7,05 ",73.828 ,18.394 ,43 ,109.0,580.0,732.0,17.481,66.026,8.314,388.0,0.0,0,0.0,92.941
2014,3,Salta,92.929,25.0,92.954,"29,22 ","7,05 ",73.828 ,18.394 ,43 ,109.0,580.0,732.0,17.481,66.026,8.314,388.0,0.0,0,0.0,92.941
2014,3,San Juan,51.031,748.0,51.779,"27,85 ","7,08 ",48.272 ,451 ,731 ,1.199,1.126,8.0,487.0,51.276,0.0,0.0,0.0,0,0.0,51.771
